seed,d,kappa,theta,block,delta_t,lambda_min_symZ,gap_std,gap_acc
2,2,1.0,0.7853981633974483,38,2.699428239391612e-08,0.9999999902353279,6.0916036000848475e-22,2.9866121158293676e-19
2,2,1.0,0.7853981633974483,39,2.505266164483117e-08,0.9999999854816849,5.298053049310929e-20,5.036988127146716e-19
2,2,1.0,0.7853981633974483,40,2.728231694895433e-08,0.9999999935500375,9.634027837797917e-20,1.9119956741736456e-21
3,2,1.0,0.7853981633974483,1,0.0,1.202356575637858,0.05665850694604957,0.05665850694604957
3,2,1.0,0.7853981633974483,2,2.2580827448234325e-15,1.1058927520035164,0.013094734600813618,0.013094734600813729
3,2,1.0,0.7853981633974483,3,1.4333129176010246e-14,1.0461287077895227,0.0031572201421840307,0.0019784265352052743
3,2,1.0,0.7853981633974483,4,4.10875589802258e-14,1.0127314455292704,0.0007756540645574295,0.00011418872232826435
3,2,1.0,0.7853981633974483,5,2.3258261336736998e-14,0.9965130201053408,0.00019225940565991556,3.44843774813643e-06
3,2,1.0,0.7853981633974483,6,3.3566397713151054e-14,0.9913717104503654,4.786122777276913e-05,1.6497457805488697e-05
3,2,1.0,0.7853981633974483,7,2.859805153727802e-13,0.9936369681026788,1.1940046481225333e-05,6.997344987158972e-06
3,2,1.0,0.7853981633974483,8,4.808260006173323e-13,0.9975921760179827,2.981865979650826e-06,8.061037435373123e-07
3,2,1.0,0.7853981633974483,9,3.0689787336299924e-13,1.0002221798641713,7.450674486574656e-07,1.152078308699401e-08
3,2,1.0,0.7853981633974483,10,1.5128435320662605e-13,1.00091407814806,1.862170305754786e-07,1.5108554433202696e-07
3,2,1.0,0.7853981633974483,11,1.8573496312616956e-12,1.0007462888389884,4.6548031959784634e-08,8.511205544238206e-08
3,2,1.0,0.7853981633974483,12,2.385165358323005e-12,1.00030812290597,1.1636230087775853e-08,1.2374587717370322e-08
3,2,1.0,0.7853981633974483,13,8.891513292602027e-13,0.9999560827149013,2.9089603046386853e-09,1.1172377083436193e-10
3,2,1.0,0.7853981633974483,14,1.6044949980306288e-12,0.9995844468886994,6.872357370408654e-10,3.191842122604713e-11
3,2,1.0,0.7853981633974483,15,5.7800437914202414e-11,0.9999953102538125,1.6235986288257848e-10,5.597861649639721e-13
3,2,1.0,0.7853981633974483,16,2.0584444426066986e-11,1.0000050525729378,3.835791379959278e-11,2.246840785121015e-12
3,2,1.0,0.7853981633974483,17,2.061426951384959e-11,1.0000059904991856,9.062247605567996e-12,2.5086896764524194e-12
3,2,1.0,0.7853981633974483,18,1.7392901072628187e-10,1.000003334026182,2.1409787323105323e-12,6.459009805919369e-13
3,2,1.0,0.7853981633974483,19,7.94637979624444e-11,1.0000004211763398,5.058520550375379e-13,7.43598283876972e-15
3,2,1.0,0.7853981633974483,20,1.8236913553670814e-10,0.9999984308506099,1.1953888840430821e-13,6.397109216234011e-14
3,2,1.0,0.7853981633974483,21,9.051174225448019e-11,0.9999983214560089,2.829758810751934e-14,7.043283509582313e-14
3,2,1.0,0.7853981633974483,22,2.1010970477116797e-09,0.9999983442593755,6.710640997465076e-15,3.205479060109162e-16
3,2,1.0,0.7853981633974483,23,7.754077436310745e-10,1.0000004477723619,1.6401331031477675e-15,8.263171286377509e-15
