seed,method,block,w2
9,std,14,0.02492288313806057
9,acc,14,0.023664256557822227
9,std,15,0.021005431190133095
9,acc,15,0.020920755341649055
9,std,16,0.024538133293390274
9,acc,16,0.024136818945407867
9,std,17,0.02280370518565178
9,acc,17,0.022531095892190933
9,std,18,0.028069306164979935
9,acc,18,0.027019985020160675
9,std,19,0.026851797476410866
9,acc,19,0.02535552904009819
9,std,20,0.024872297421097755
9,acc,20,0.023311292752623558
9,std,21,0.02850673533976078
9,acc,21,0.02725645713508129
9,std,22,0.02474752813577652
9,acc,22,0.023061489686369896
9,std,23,0.025035206228494644
9,acc,23,0.024400638416409492
9,std,24,0.028156977146863937
9,acc,24,0.02820007875561714
9,std,25,0.0239240862429142
9,acc,25,0.023162949830293655
