arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,4,37,acc,20,6.794206512639178e-05,23.063935456752077,1.1346904870208565,,0.11428571428571428,1.507706112261219e-16,,
quantile-1d,1,4,38,std,78,9.840202206978788e-05,19.645718179854324,0.0,0.08767990864036404,,,,
quantile-1d,1,4,38,acc,20,6.289162710970686e-05,19.645718179854324,0.9277745868904473,,0.0,1.5077277983919896e-16,,
quantile-1d,1,4,39,std,77,9.435144496849901e-05,18.9806957816056,0.0,0.08768144219042392,,,,
quantile-1d,1,4,39,acc,20,5.8309901617814575e-05,18.9806957816056,0.8832390088691726,,0.0,1.507746870915834e-16,,
quantile-1d,1,4,40,std,79,9.993757459580976e-05,23.50171006122289,0.0,0.08794218040586001,,,,
quantile-1d,1,4,40,acc,20,6.871974837752148e-05,23.50171006122289,0.5115789078582598,,0.11428571428571428,1.507702932273998e-16,,
quantile-1d,1,4,41,std,80,9.325159276762918e-05,27.837178996347813,0.0,0.08829353962901129,,,,
quantile-1d,1,4,41,acc,21,7.762550367917953e-05,27.837178996347813,0.8345341555618038,,0.17142857142857143,1.507668618170037e-16,,
quantile-1d,1,4,42,std,80,9.75600091419615e-05,25.426102413080038,0.0,0.08804044645988159,,,,
quantile-1d,1,4,42,acc,21,7.529263666805619e-05,25.426102413080038,0.6922568613362764,,0.17142857142857143,1.507677828411091e-16,,
quantile-1d,1,4,43,std,80,9.636019223480119e-05,24.295732023204465,0.0,0.08792653706285293,,,,
quantile-1d,1,4,43,acc,21,7.597814293314187e-05,24.295732023204465,1.7443675573172304,,0.2,1.5076758553352465e-16,,
quantile-1d,1,4,44,std,73,9.695207215143498e-05,11.241690095287428,0.0,0.0873509839161164,,,,
quantile-1d,1,4,44,acc,20,3.6312417203365754e-05,11.241690095287428,0.8548662981173659,,0.0,1.507858219978664e-16,,
quantile-1d,1,4,45,std,78,9.197705148533686e-05,20.645717129783765,0.0,0.08774009174139513,,,,
quantile-1d,1,4,45,acc,20,6.299217473060281e-05,20.645717129783765,1.7588417654482633,,0.0,1.5077267470603295e-16,,
quantile-1d,1,4,46,std,81,9.887047229062418e-05,29.525744229673325,0.0,0.08822692726621256,,,,
quantile-1d,1,4,46,acc,21,8.509770419307117e-05,29.525744229673325,0.5809763766327428,,0.2,1.5076423929141243e-16,,
quantile-1d,1,4,47,std,79,9.971418620358108e-05,23.529898321931974,0.0,0.08793691813262311,,,,
quantile-1d,1,4,47,acc,20,6.823788880616632e-05,23.529898321931974,0.7726178603858154,,0.11428571428571428,1.50770473623381e-16,,
quantile-1d,1,4,48,std,76,9.914308750325063e-05,16.193763185633905,0.0,0.08757568105149352,,,,
quantile-1d,1,4,48,acc,20,4.95601110093169e-05,16.193763185633905,0.7854004505898915,,0.0,1.5077871399441496e-16,,
